N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
7,18,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,329.1170321564782,319.67191378062194,338.5621505323345,184.72022518579965,179.45599992797187,189.98445044362742,472.1486681897807,462.62685277559353,481.6704836039679,0.07639649359952423,0.07425269987683576,0.07866775705571868,0.037837914521050536,0.036915598213075836,0.038807498948348104,0.038118686184027736,0.03747168426006513,0.0387884234834535,0.68675995068882,0.668959290075294,0.704560611302346,0.9502481088051171,0.9243260645938026,0.9761701530164316,0.9620677067024634,0.9405136743684225,0.9836217390365044,8.037659168243408
0,25,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,500.12909292345375,489.39786680812387,510.86031903878364,0.0,0.0,0.0,500.12909292345375,489.39786680812387,510.86031903878364,0.04999329479400279,0.0489606268872484,0.051070462947724694,0.0,0.0,0.0,0.04999329479400279,0.0489606268872484,0.051070462947724694,0.15046341704506705,0.14601144054143775,0.15491539354869635,0.9971038971728906,0.9846221527472753,1.009585641598506,0.8407799912316039,0.8160395132566416,0.8655204692065661,8.624255418777466
5,20,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,359.4160981682689,351.69644711068736,367.1357492258504,177.80903837746297,173.1332598159624,182.48481693896355,484.725790625765,474.77401581201406,494.67756543951594,0.0694932228827868,0.06784577232103486,0.07122267230134618,0.02826893893515571,0.027518047047047276,0.029061959964316236,0.04124149113235269,0.04049051555974868,0.04202084973660882,0.5447416995381282,0.5305104014144979,0.5589729976617586,0.9740213217915367,0.9523626834857988,0.9956799600972746,0.9267301425606806,0.8996699448195548,0.9537903403018065,9.84581208229065
9,16,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,309.265559182013,301.36536787501814,317.1657504890079,196.20657597130943,190.52115083087298,201.89200111174588,456.6557622437474,446.3328207437062,466.9787037437886,0.08153499660150453,0.07942857063132165,0.08375618996173603,0.04577740692190534,0.044625444537393456,0.04699041881382331,0.03498323229255454,0.034159518105369796,0.03584765376634527,0.7928597736600191,0.7754490304231972,0.810270516896841,0.9277686995985223,0.9038500124475802,0.9516873867494643,0.9637180923694996,0.9427279817239259,0.9847082030150732,10.08586597442627
8,17,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,323.5390829712604,313.94631821701245,333.1318477255084,191.32119144770667,186.70160538183237,195.94077751358097,463.8278472133035,454.1795630772503,473.47613134935676,0.07727748894804902,0.07554482026919807,0.07909150306084244,0.041575145612637726,0.040475806026097697,0.04273586945407981,0.03650951624731939,0.03594174997036015,0.03709550826600149,0.7291281650895867,0.7105012133945936,0.7477551167845797,0.940939508563873,0.9139780948881098,0.9679009222396362,0.961855158184373,0.9390688741219908,0.9846414422467551,11.494466781616211
10,15,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,300.4438615503968,292.21901752474133,308.6687055760522,201.67280397367986,196.15944846859887,207.18615947876086,443.5152164171889,435.43959437868074,451.5908384556971,0.08350820773153919,0.08129687997230219,0.08584319829193103,0.04973176739305129,0.04832417611253199,0.05122381977490984,0.03382106054775798,0.03310480352831572,0.03456899692136697,0.8376798541610496,0.8147101628299046,0.8606495454921946,0.9334533616999551,0.9133633695756733,0.9535433538242368,0.9677602059725584,0.9475480018224136,0.9879724101227032,8.313801288604736
3,22,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,397.4378651110139,387.6654542734083,407.2102759486195,168.50590853295438,163.52145961758143,173.49035744832733,493.65806444069295,484.5846999832083,502.7314288981776,0.06289937781834526,0.061501405128510565,0.06436238265567061,0.017756386577789558,0.017327655704507113,0.018206871516912443,0.044704276657862946,0.04409552281554945,0.045330073902079195,0.4057449467211776,0.3963046554281599,0.4151852380141953,0.9965708255433325,0.9817739021730416,1.0113677489136235,0.8997593786857795,0.8773577937648979,0.9221609636066611,16.9233820438385
6,19,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,352.053980221187,342.57770584083335,361.5302546015406,181.4591838896127,176.77174118370493,186.14662659552044,480.0744845448971,470.8340174699847,489.31495161980945,0.07155274050230237,0.06958444577018977,0.0736356286885819,0.033352726930893806,0.03280430562783709,0.0339197969817336,0.03954800457135464,0.03865376693746981,0.040484597656200036,0.6064559026396876,0.5890785810400408,0.6238332242393344,0.9635364329493221,0.9346799076789113,0.992392958219733,0.9674203644429419,0.9475576441390965,0.9872830847467873,17.125896215438843
12,13,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,291.76271969548884,283.97606200894165,299.549377382036,220.6851340313367,216.8238955811639,224.5463724815095,420.4492087715408,409.5893323906945,431.30908515238707,0.08602646748040656,0.08409099438102377,0.08805313484305965,0.054968297444570026,0.05355772366324733,0.05645518290916056,0.03098330541147583,0.030391228839094873,0.03159890981205974,0.9533883423914304,0.925342052393301,0.9814346323895599,0.9012290055791944,0.8770061584972493,0.9254518526611395,0.9575611402227274,0.9349714187681222,0.9801508616773327,8.496165990829468
4,21,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,378.41901897532324,370.52461691262636,386.3134210380201,170.81423630439724,165.9599381760619,175.66853443273257,488.4115942782584,475.83201946613923,500.9911690903776,0.06594537122695218,0.06467734883047985,0.0672641079548448,0.023460549817335107,0.022890365822674008,0.02405986527609204,0.04299826880250853,0.04188923239394137,0.044167626733609265,0.4818875951417689,0.46886073047171356,0.4949144598118242,0.976061342892436,0.9554358349481124,0.9966868508367596,0.9243985611147075,0.9029187903229959,0.9458783319064191,18.71828007698059
13,12,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,285.9006396712511,280.88729333075577,290.91398601174643,229.46364585637528,222.85748512637406,236.0698065863765,397.52799585850386,386.7824940770337,408.27349763997404,0.08743645852111866,0.08601784794588742,0.08890264531634207,0.057414317245148186,0.05647560718233526,0.05838476032250564,0.03003605913769504,0.029367944467837054,0.030735280417956045,0.9417224557853848,0.920500492765764,0.9629444188050057,0.8812251866806655,0.859125771472513,0.903324601888818,0.9631735804342438,0.9373594696501896,0.9889876912182981,9.153991460800171
11,14,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,297.8689563250361,290.2850931580604,305.45281949201177,209.9569799632932,204.77108034584165,215.14287958074476,433.26413941875137,424.66871148830865,441.8595673491941,0.08306502150034391,0.08090808032833577,0.08534011703225962,0.05224832429364677,0.05141569672053076,0.0531083629624989,0.032331976860829746,0.03168200291166955,0.03300917855813991,0.870791630336761,0.8462256438641677,0.8953576168093543,0.9071542755631288,0.8873044518545944,0.9270040992716632,0.9632794778571488,0.9418219857290233,0.9847369699852744,10.813455820083618
14,11,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,288.46602533202,283.76771186036257,293.1643388036775,239.533898444195,235.9363407444855,243.13145614390447,383.39274562169027,373.9027066882323,392.88278455514825,0.08720975113410571,0.08529457216201342,0.08921291132925128,0.0585121231486089,0.057466490340014664,0.059596512828978786,0.02863087978821689,0.028035272900967842,0.029252343226632498,0.962308919272635,0.9377074132751408,0.9869104252701291,0.8659056431301239,0.8449695185755145,0.8868417676847332,0.9645656507841323,0.9470643021869518,0.9820669993813127,8.867647171020508
15,10,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,288.5304682365245,281.41789561658425,295.6430408564647,249.50878320419133,244.65080802293062,254.36675838545204,367.26362255698285,356.4695850103261,378.0576601036396,0.08713716841692565,0.08532399313831854,0.08902907851516953,0.06010158636229319,0.058856327599555586,0.06140067746723458,0.027320514646894507,0.026851903500955693,0.027805772419277296,0.9735988138233843,0.952606514828236,0.9945911128185326,0.8393776813996179,0.8184064145187855,0.8603489482804503,0.9482157994612416,0.9274588563412518,0.9689727425812313,7.503106355667114
16,9,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,287.6428286196886,281.3290769844451,293.9565802549321,266.9240519190942,259.09990143455616,274.74820240363226,341.683525159836,332.4103246576294,350.9567256620426,0.08686266430301243,0.08528771021337772,0.08849688009897037,0.06044618320969007,0.05947307373717038,0.061451666789011726,0.02640835121737926,0.025804092073250663,0.02704158905468333,0.9982662273490688,0.9855709065643956,1.010961548133742,0.8356710145470732,0.8222207539656221,0.8491212751285242,0.9321917238593979,0.9067922132210565,0.9575912344977392,8.011030912399292
19,6,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,299.8782760705124,292.18615300021463,307.5703991408102,305.0415229203931,298.8442086022499,311.2388372385363,281.69549919126536,276.3780182193754,287.0129801631553,0.08338371202541983,0.0816652592333636,0.08517604093911187,0.062116144111457085,0.06097794866424993,0.06329763816223115,0.02127962481445444,0.020958737452124006,0.021610490803323525,0.9997180360516034,0.987185548084943,1.0122505240182638,0.7347529719759234,0.7181489072383692,0.7513570367134775,0.8642551349453695,0.8404511042113209,0.8880591656794182,9.009663343429565
17,8,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,290.85007596931604,284.57243484846776,297.1277170901643,278.8115100387017,274.1094725219968,283.51354755540666,317.4629447845246,311.58519599139595,323.34069357765327,0.08576377336644364,0.08397076213866429,0.0876350269220382,0.060785274146535055,0.05920251575600875,0.06245498618759102,0.025213084439530353,0.02475090680538935,0.02569285115081032,0.9953268735047343,0.9812120972995229,1.0094416497099457,0.8100926521525595,0.7940020425485974,0.8261832617565217,0.9077856788952416,0.889069255607343,0.9265021021831403,11.64459776878357
20,5,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,305.79417243615484,300.2094628807753,311.3788819915344,315.0806925250928,306.113958850769,324.0474261994166,271.0087295355132,262.9552845437509,279.06217452727554,0.08172520965159048,0.07938900673038486,0.08420307760818056,0.0629187422268005,0.061790228410288014,0.06408924441909784,0.01842465638637235,0.018097179327158014,0.018764203566142963,0.9990627346034912,0.9865478422330264,1.0115776269739558,0.6797019179216728,0.6638666035444448,0.6955372322989007,0.8140388279142117,0.7926985203993002,0.8353791354291231,9.773034811019897
18,7,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,295.1853418496492,290.30672619291704,300.06395750638137,290.8701975611417,283.898530794351,297.8418643279324,303.7103024725774,297.0956308589602,310.3249740861946,0.08443693781900644,0.08287328702270502,0.0860607291823119,0.061674706577301695,0.060596185632752125,0.06279231532658709,0.023183684179158042,0.02276462982134887,0.023618455881556113,0.9999856494963245,0.9874718985230089,1.0124994004696402,0.7756969468889131,0.7574295854527242,0.793964308325102,0.8956569808219634,0.8783512786788403,0.9129626829650865,12.266525506973267
22,3,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,326.0270686936968,320.59457096806216,331.4595664193314,343.02742825695157,332.80485619488053,353.2500003190226,245.28780059847233,241.00515868007085,249.5704425168738,0.0765394494359333,0.07527226832993147,0.07785002615203823,0.06434492036026801,0.06309530346771187,0.0656450352734505,0.012231826147015028,0.012075686505816268,0.012392056478544652,1.0,0.9713515668682959,1.028648433131704,0.5708631069214295,0.5553848323110824,0.5863413815317766,0.72698477074816,0.7069863652274452,0.7469831762688749,10.74684476852417
21,4,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,316.4124100384623,311.66251913781406,321.1623009391106,331.8308518764274,327.08882672645973,336.5728770263951,256.9734403254038,251.158980824891,262.78789982591667,0.07928532616836022,0.07761598054949737,0.08102805791678001,0.06344269210362563,0.06225235342524077,0.06467943954120828,0.0155440620624321,0.015245685623097468,0.015854350813000212,1.0,0.9874855732602297,1.0125144267397703,0.6252465523985087,0.6065155152968406,0.6439775895001768,0.7766997612255478,0.7549243655170697,0.798475156934026,12.947754144668579
2,23,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,428.73302978739474,420.33764873457204,437.12841084021744,164.4874310288197,159.87416107556018,169.10070098207925,499.63125784290264,487.98096993924946,511.2815457465558,0.05834538375706945,0.05721916647609454,0.059516824738426184,0.012196269333704943,0.012000375628681986,0.012398664695287805,0.04586168922604531,0.04504972399130663,0.04670346101341937,0.3217407366348974,0.31420224768684907,0.3292792255829457,0.9908961999827726,0.9630989548761467,1.0186934450893985,0.8883825921234114,0.8650385697638827,0.9117266144829401,33.263643741607666
25,0,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,378.6031067464672,371.68244706477725,385.5237664281571,378.6031067464672,371.68244706477725,385.5237664281571,0.0,0.0,0.0,0.06630560860658408,0.06502732514809711,0.0676351558505942,0.06630560860658408,0.06502732514809711,0.0676351558505942,0.0,0.0,0.0,1.0,0.9713515668682959,1.028648433131704,0.33458575014743963,0.32697538079003136,0.3421961195048479,0.5328039968244259,0.5199110986033668,0.545696895045485,6.561838388442993
24,1,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,357.0590036319436,350.01745694042353,364.10055032346366,365.3327057155407,358.2954077433693,372.37000368771214,231.12501690007142,224.3034293846061,237.94660441553674,0.06987893986449796,0.06864727988789343,0.07115560384165802,0.0655874645287571,0.06437567913162649,0.06684574559807892,0.004326662744744578,0.004202623535882259,0.004458246593659214,1.0,0.9874855732602297,1.0125144267397703,0.4246076247090226,0.41221739257432427,0.4369978568437209,0.5925053435113294,0.5758876118883124,0.6091230751343465,10.5475492477417
23,2,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,341.93953056471986,336.26470432167105,347.6143568077687,354.6207426528609,347.4711368912096,361.77034841451217,238.85940625270047,234.61758704885708,243.10122545654386,0.07324558822282322,0.07152431840799842,0.07505174744678242,0.06478273474580196,0.06363990483114948,0.0659673605434,0.008371835953603015,0.00823744758226243,0.008510681958506794,1.0,0.9713515668682959,1.028648433131704,0.4883113355516846,0.4753988840056498,0.5012237870977194,0.6623173935770399,0.643325639039732,0.6813091481143478,12.371161222457886
1,24,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,457.40589481523574,449.0291360507448,465.7826535797267,160.38216968710753,156.5486035105824,164.21573586363266,498.5499007117089,488.68246028312456,508.4173411402933,0.054878860116832205,0.05361075632706894,0.0562084085275178,0.0062351070692641085,0.006089550399910614,0.006387792529445348,0.048132434182735634,0.04707602028202929,0.04923734959909417,0.24366943123240298,0.2371649841891493,0.2501738782756566,0.9963957316833278,0.9836015840468674,1.0091898793197882,0.8720239186185932,0.8510839066116772,0.8929639306255092,47.7475802898407
